7.512835776884937644e+00 2.553961233250106933e+00
-7.512835776884958072e+00 2.553961233250015006e+00
-5.434909423791488559e-01 7.848648286342908342e+00
5.434909423794070937e-01 7.848648286342877256e+00
-3.593459392193591562e+00 6.917189439269846751e+00
3.593459392193683488e+00 6.917189439269800566e+00
5.390350412076813091e-01 7.697641104616808505e+00
-5.390350412081647002e-01 7.697641104622619856e+00
5.512475982589562506e-02 7.630734795539032334e+00
-5.512475982572990346e-02 7.630734795905143031e+00
