-2.000000000000000000e+01 -3.615766033948122529e-42 2.273354841721692219e-41 -1.910905298181962584e-40 -1.781577316728825636e-40 1.779254368174450261e-39 1.066702943689374656e-39 -9.052837041346908761e-39 -9.731136974588075418e-39 5.125248907268314056e-38 5.164052791517413371e-38
-1.997997997997997999e+01 -7.642746448007338687e-42 4.805254122119024197e-41 -4.037636722383745305e-40 -3.764374658755027225e-40 3.758096079651606344e-39 2.253062964883315994e-39 -1.911430894418057024e-38 -2.054648262207316415e-38 1.081771860370740524e-37 1.089962085163264759e-37
-1.995995995995995997e+01 -1.253529662399620450e-41 7.881366491222331350e-41 -6.618481603235208613e-40 -6.170553587801171610e-40 6.156718331739590050e-39 3.691090814344790582e-39 -3.129636141031403285e-38 -3.364129719771552717e-38 1.770227342632783771e-37 1.783629942452772727e-37
-1.993993993993993996e+01 -1.884158547815941450e-41 1.184634435232094006e-40 -9.940578722640798771e-40 -9.267820131763949738e-40 9.240135114707850931e-39 5.539668310865307269e-39 -4.693568913807850280e-38 -5.045242964679467797e-38 2.652919842061765913e-37 2.673005403972011091e-37
-1.991991991991991995e+01 -2.726394959204432954e-41 1.714177055306326780e-40 -1.437130642000737300e-39 -1.339868919538250618e-39 1.334694618459444000e-38 8.001793583497339307e-39 -6.773780457698081505e-38 -7.281318091670619146e-38 3.825450388415214057e-37 3.854413304964241882e-37
-1.989989989989989994e+01 -3.873546381677974147e-41 2.435430092253288527e-40 -2.039804466575445328e-39 -1.901755590270030426e-39 1.892572171618071556e-38 1.134639448903379740e-38 -9.595900172663761328e-38 -1.031489017743552084e-37 5.414120572720735826e-37 5.455111479439750871e-37
-1.987987987987987992e+01 -5.452090103224817533e-41 3.427914109738413898e-40 -2.868052328114321914e-39 -2.673950151456160424e-39 2.658283287809730082e-38 1.593700411645702388e-38 -1.346452107236067233e-37 -1.447337439928304285e-37 7.589207823320482396e-37 7.646666544704561969e-37
-1.985985985985985991e+01 -7.635274635911575483e-41 4.800556327445257532e-40 -4.012124537709082706e-39 -3.740595121313729475e-39 3.714670535310544898e-38 2.227028220993827020e-38 -1.879524125538071243e-37 -2.020350827137148555e-37 1.058274893361336535e-36 1.066287207015265297e-36
-1.983983983983983990e+01 -1.066165238616538869e-40 6.703342740057592734e-40 -5.596131113181196873e-39 -5.217401332200863904e-39 5.175512905254388042e-38 3.102835928854069317e-38 -2.615814430315354464e-37 -2.811808988788198473e-37 1.471264033054861031e-36 1.482403131150763350e-36
-1.981981981981981988e+01 -1.486047428591242402e-40 9.343284583871816017e-40 -7.791154888090443505e-39 -7.263873534043307453e-39 7.197458035244928464e-38 4.315037299978506220e-38 -3.633714495861138639e-37 -3.905977017939053799e-37 2.041549005471654553e-36 2.057005791674828879e-36
-1.979979979979979987e+01 -2.068657775294809198e-40 1.300635358163854320e-39 -1.083324338513720911e-38 -1.010008467893549185e-38 9.996372989812720763e-38 5.993049470781213520e-38 -5.041120802004605210e-37 -5.418835727856004983e-37 2.829152203674040539e-36 2.850572017733511787e-36
-1.977977977977977986e+01 -2.876836517427271721e-40 1.808764764342968165e-39 -1.504811981433999652e-38 -1.402971481123483482e-38 1.386977326589485034e-37 8.315239640311468600e-38 -6.986562090479357694e-37 -7.510042637223550911e-37 3.916602094087324989e-36 3.946255107708126298e-36
-1.975975975975975985e+01 -3.997379648510259938e-40 2.513288264087359233e-39 -2.088512954858553325e-38 -1.947170024497308730e-38 1.922759571209651879e-37 1.152737412386498794e-37 -9.674447299388042299e-37 -1.039932238314042982e-36 5.417342904414792245e-36 5.458358187782061844e-36
-1.973973973973973983e+01 -5.550113683076306636e-40 3.489544854227036765e-39 -2.896386220812887352e-38 -2.700370034834661165e-38 2.663440934164661654e-37 1.596792468034596168e-37 -1.338595528422061928e-36 -1.438892164144296633e-36 7.487241974530737880e-36 7.543928686221696073e-36
-1.971971971971971982e+01 -7.700368677131149470e-40 4.841483152589666708e-39 -4.013815205228204797e-38 -3.742176653336726141e-38 3.686728836102071695e-37 2.210276468829706292e-37 -1.850764051593751403e-36 -1.989435815677235804e-36 1.034032849677230722e-35 1.041861623337391597e-35
-1.969969969969969981e+01 -1.067611204940439404e-39 6.712434012980579490e-39 -5.558388308791565353e-38 -5.182220503153475934e-38 5.099511248712833413e-37 3.057271146106797869e-37 -2.557058189545341322e-36 -2.748650285064511041e-36 1.427030699670974865e-35 1.437834902332168539e-35
-1.967967967967967979e+01 -1.479146968865969502e-39 9.299899043713051872e-39 -7.691937550291331077e-38 -7.171381612773861751e-38 7.048715782187483938e-37 4.225862890702437363e-37 -3.530392588677181706e-36 -3.794913476755936873e-36 1.967994532465060021e-35 1.982894430507553660e-35
-1.965965965965965978e+01 -2.047899373655440295e-39 1.287583845790873032e-38 -1.063703318522488534e-37 -9.917167765946108871e-38 9.736169647942469874e-37 5.837051633186733284e-37 -4.870806678725584032e-36 -5.235760450554581770e-36 2.712119210333737165e-35 2.732652956377745730e-35
-1.963963963963963977e+01 -2.833389917347542649e-39 1.781448411650170067e-38 -1.469956803444760630e-37 -1.370477044839411458e-37 1.343892046841487861e-36 8.056933624156055673e-37 -6.715459655494142529e-36 -7.218627296066057680e-36 3.734990269089709422e-35 3.763268281978890913e-35
-1.961961961961961975e+01 -3.917466649048154017e-39 2.463044248506131005e-38 -2.029965820295462924e-37 -1.892587437858436746e-37 1.853700523495073074e-36 1.111334954605205502e-36 -9.252272044978322488e-36 -9.945514815006096523e-36 5.140044048481297809e-35 5.178959874711217482e-35
